"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_cost",-0.691295737626266,0.0324012064166619,-21.3354937694781,0.0514568591982815,-13.4344720683876
"mu_stsquo",-1.09545259056398,0.13955352877987,-7.84969466656716,0.158661380902519,-6.90434297453278
"mu_advisory",-0.92631957080582,0.0720102934554394,-12.8637105385362,0.0796282809462229,-11.6330474524674
"mu_catch_per_trip",0.0987154239371127,0.0562457715561085,1.7550728029153,0.0620268195448227,1.59149581844637
"mu_wqi",1.41374938665207,0.09981667889101,14.1634584756696,0.121776691498269,11.6093594698471
"mu_proportion",-1.02932218567228,0.11287911274521,-9.11880117268161,0.130912110735446,-7.86269642960985
"mu_weed",-0.352650562607031,0.056548506730491,-6.23624889491346,0.0587490907803006,-6.00265566535848
"sigma_stsquo",2.70803402726448,0.145892792182738,18.5618082068958,0.173498280104308,15.6084200122123
"sigma_advisory",0.952420734932661,0.0910757487871562,10.4574570905639,0.122136023595098,7.79803293817803
"sigma_catch_per_trip",0.770885267571236,0.0743766569311594,10.3646130301977,0.11682318142866,6.59873544055114
"sigma_wqi",1.43347980186927,0.103943678091362,13.7909282044965,0.133545537742837,10.7340149742005
"sigma_proportion",1.52516052963159,0.147021069925243,10.3737547985952,0.202217467550713,7.54217995163598
"sigma_weed",0.873473361983096,0.0705497989112619,12.3809475783447,0.0930875395032759,9.38335427753311
